Temps (s);CH1 (V);CH2 (V)
-3.130000e-03;1.240;-0.020
-3.128000e-03;1.200;-0.020
-3.126000e-03;1.200;0.000
-3.124000e-03;1.200;0.020
-3.122000e-03;1.160;0.000
-3.120000e-03;1.120;-0.020
-3.118000e-03;1.120;0.000
-3.116000e-03;1.080;0.000
-3.114000e-03;1.040;-0.020
-3.112000e-03;1.080;-0.020
-3.110000e-03;1.040;0.000
-3.108000e-03;1.000;-0.020
-3.106000e-03;0.960;0.000
-3.104000e-03;0.960;0.000
-3.102000e-03;0.960;-0.040
-3.100000e-03;0.920;-0.020
-3.098000e-03;0.920;0.000
-3.096000e-03;0.880;0.020
-3.094000e-03;0.840;0.000
-3.092000e-03;0.840;0.020
-3.090000e-03;0.800;0.000
-3.088000e-03;0.800;-0.040
-3.086000e-03;0.760;0.000
-3.084000e-03;0.720;-0.040
-3.082000e-03;0.720;0.020
-3.080000e-03;0.680;-0.020
-3.078000e-03;0.680;0.000
-3.076000e-03;0.640;0.000
-3.074000e-03;0.640;0.040
-3.072000e-03;0.640;0.000
-3.070000e-03;0.600;0.020
-3.068000e-03;0.560;0.000
-3.066000e-03;0.560;-0.020
-3.064000e-03;0.560;-0.060
-3.062000e-03;0.520;0.000
-3.060000e-03;0.480;0.020
-3.058000e-03;0.480;0.000
-3.056000e-03;0.440;0.040
-3.054000e-03;0.400;0.000
-3.052000e-03;0.400;-0.060
-3.050000e-03;0.360;0.020
-3.048000e-03;0.360;0.020
-3.046000e-03;0.320;0.020
-3.044000e-03;0.280;0.000
-3.042000e-03;0.280;0.020
-3.040000e-03;0.240;0.000
-3.038000e-03;0.240;0.040
-3.036000e-03;0.200;0.000
-3.034000e-03;0.200;0.000
-3.032000e-03;0.160;0.000
-3.030000e-03;0.160;0.000
-3.028000e-03;0.120;0.000
-3.026000e-03;0.120;0.000
-3.024000e-03;0.080;0.020
-3.022000e-03;0.080;0.000
-3.020000e-03;0.040;0.040
-3.018000e-03;0.000;0.020
-3.016000e-03;0.000;0.000
-3.014000e-03;-0.040;0.000
-3.012000e-03;-0.040;0.020
-3.010000e-03;-0.080;-0.020
-3.008000e-03;-0.120;0.000
-3.006000e-03;-0.120;0.020
-3.004000e-03;-0.120;0.020
-3.002000e-03;-0.160;0.020
-3.000000e-03;-0.200;0.000
-2.998000e-03;-0.200;0.000
-2.996000e-03;-0.200;-0.020
-2.994000e-03;-0.240;0.020
-2.992000e-03;-0.280;-0.020
-2.990000e-03;-0.280;0.000
-2.988000e-03;-0.320;-0.040
-2.986000e-03;-0.360;0.000
-2.984000e-03;-0.400;0.000
-2.982000e-03;-0.400;0.020
-2.980000e-03;-0.400;0.000
-2.978000e-03;-0.440;-0.020
-2.976000e-03;-0.440;0.000
-2.974000e-03;-0.480;-0.020
-2.972000e-03;-0.520;0.000
-2.970000e-03;-0.520;0.020
-2.968000e-03;-0.520;0.000
-2.966000e-03;-0.560;0.000
-2.964000e-03;-0.560;-0.040
-2.962000e-03;-0.600;0.020
-2.960000e-03;-0.600;-0.020
-2.958000e-03;-0.640;0.000
-2.956000e-03;-0.680;-0.020
-2.954000e-03;-0.680;0.020
-2.952000e-03;-0.720;-0.020
-2.950000e-03;-0.760;0.020
-2.948000e-03;-0.760;0.000
-2.946000e-03;-0.800;-0.020
-2.944000e-03;-0.800;0.000
-2.942000e-03;-0.840;-0.020
-2.940000e-03;-0.840;0.000
-2.938000e-03;-0.880;-0.060
-2.936000e-03;-0.880;0.000
-2.934000e-03;-0.920;0.000
-2.932000e-03;-0.920;0.020
-2.930000e-03;-0.960;-0.020
-2.928000e-03;-0.960;0.020
-2.926000e-03;-1.000;0.000
-2.924000e-03;-1.000;-0.020
-2.922000e-03;-1.040;-0.020
-2.920000e-03;-1.040;0.000
-2.918000e-03;-1.080;0.000
-2.916000e-03;-1.120;0.020
-2.914000e-03;-1.120;0.000
-2.912000e-03;-1.120;0.020
-2.910000e-03;-1.160;0.000
-2.908000e-03;-1.200;0.000
-2.906000e-03;-1.200;0.040
-2.904000e-03;-1.240;0.020
-2.902000e-03;-1.240;0.000
-2.900000e-03;-1.240;0.000
-2.898000e-03;-1.280;0.000
-2.896000e-03;-1.320;0.000
-2.894000e-03;-1.320;0.000
-2.892000e-03;-1.360;0.020
-2.890000e-03;-1.400;0.000
-2.888000e-03;-1.400;-0.020
-2.886000e-03;-1.400;-0.020
-2.884000e-03;-1.440;0.020
-2.882000e-03;-1.480;0.000
-2.880000e-03;-1.480;0.000
-2.878000e-03;-1.520;0.020
-2.876000e-03;-1.520;0.000
-2.874000e-03;-1.520;0.000
-2.872000e-03;-1.560;0.000
-2.870000e-03;-1.600;0.000
-2.868000e-03;-1.600;0.000
-2.866000e-03;-1.640;0.000
-2.864000e-03;-1.640;0.020
-2.862000e-03;-1.680;0.040
-2.860000e-03;-1.680;-0.020
-2.858000e-03;-1.680;0.000
-2.856000e-03;-1.720;0.020
-2.854000e-03;-1.720;0.000
-2.852000e-03;-1.760;0.020
-2.850000e-03;-1.800;0.020
-2.848000e-03;-1.800;0.020
-2.846000e-03;-1.800;0.000
-2.844000e-03;-1.840;0.000
-2.842000e-03;-1.840;0.020
-2.840000e-03;-1.880;0.000
-2.838000e-03;-1.880;0.020
-2.836000e-03;-1.920;-0.020
-2.834000e-03;-1.920;0.000
-2.832000e-03;-1.960;-0.040
-2.830000e-03;-1.960;0.020
-2.828000e-03;-2.000;0.000
-2.826000e-03;-2.000;0.000
-2.824000e-03;-2.040;0.020
-2.822000e-03;-2.040;0.020
-2.820000e-03;-2.080;0.020
-2.818000e-03;-2.080;-0.020
-2.816000e-03;-2.080;0.000
-2.814000e-03;-2.120;-0.020
-2.812000e-03;-2.160;0.000
-2.810000e-03;-2.160;-0.040
-2.808000e-03;-2.160;0.000
-2.806000e-03;-2.200;0.000
-2.804000e-03;-2.200;0.040
-2.802000e-03;-2.200;0.000
-2.800000e-03;-2.240;0.020
-2.798000e-03;-2.280;0.000
-2.796000e-03;-2.280;-0.020
-2.794000e-03;-2.280;0.000
-2.792000e-03;-2.280;0.000
-2.790000e-03;-2.320;-0.020
-2.788000e-03;-2.320;0.000
-2.786000e-03;-2.360;0.000
-2.784000e-03;-2.360;0.000
-2.782000e-03;-2.400;-0.020
-2.780000e-03;-2.400;0.020
-2.778000e-03;-2.440;-0.040
-2.776000e-03;-2.440;0.000
-2.774000e-03;-2.440;0.000
-2.772000e-03;-2.480;0.040
-2.770000e-03;-2.480;0.000
-2.768000e-03;-2.520;0.000
-2.766000e-03;-2.520;0.000
-2.764000e-03;-2.520;0.020
