Temps (s);CH1 (V);CH2 (V)
-2.076000e-03;-1.400;0.000
-2.075000e-03;-1.360;0.020
-2.074000e-03;-1.360;0.000
-2.073000e-03;-1.320;-0.020
-2.072000e-03;-1.320;0.000
-2.071000e-03;-1.280;0.000
-2.070000e-03;-1.240;0.000
-2.069000e-03;-1.240;0.000
-2.068000e-03;-1.240;-0.080
-2.067000e-03;-1.200;0.020
-2.066000e-03;-1.160;0.000
-2.065000e-03;-1.160;0.020
-2.064000e-03;-1.160;0.020
-2.063000e-03;-1.120;0.000
-2.062000e-03;-1.080;0.020
-2.061000e-03;-1.080;0.060
-2.060000e-03;-1.040;-0.020
-2.059000e-03;-1.000;0.000
-2.058000e-03;-1.000;0.020
-2.057000e-03;-1.000;0.000
-2.056000e-03;-0.960;0.000
-2.055000e-03;-0.920;-0.020
-2.054000e-03;-0.920;-0.040
-2.053000e-03;-0.920;0.000
-2.052000e-03;-0.880;0.000
-2.051000e-03;-0.880;-0.040
-2.050000e-03;-0.840;0.000
-2.049000e-03;-0.800;0.000
-2.048000e-03;-0.800;0.000
-2.047000e-03;-0.760;0.020
-2.046000e-03;-0.760;0.000
-2.045000e-03;-0.760;0.000
-2.044000e-03;-0.680;0.020
-2.043000e-03;-0.680;0.020
-2.042000e-03;-0.640;0.000
-2.041000e-03;-0.640;0.000
-2.040000e-03;-0.600;0.000
-2.039000e-03;-0.600;0.000
-2.038000e-03;-0.560;0.000
-2.037000e-03;-0.560;-0.060
-2.036000e-03;-0.520;0.060
-2.035000e-03;-0.520;-0.020
-2.034000e-03;-0.480;0.020
-2.033000e-03;-0.440;0.000
-2.032000e-03;-0.440;0.020
-2.031000e-03;-0.400;0.000
-2.030000e-03;-0.400;0.040
-2.029000e-03;-0.400;-0.040
-2.028000e-03;-0.360;0.020
-2.027000e-03;-0.360;0.020
-2.026000e-03;-0.320;0.020
-2.025000e-03;-0.320;0.000
-2.024000e-03;-0.280;0.000
-2.023000e-03;-0.240;-0.020
-2.022000e-03;-0.200;0.040
-2.021000e-03;-0.200;0.000
-2.020000e-03;-0.160;0.000
-2.019000e-03;-0.160;0.000
-2.018000e-03;-0.160;0.000
-2.017000e-03;-0.120;0.000
-2.016000e-03;-0.080;-0.020
-2.015000e-03;-0.080;-0.020
-2.014000e-03;-0.040;0.020
-2.013000e-03;-0.040;0.000
-2.012000e-03;-0.040;-0.020
-2.011000e-03;0.000;0.020
-2.010000e-03;0.040;0.000
-2.009000e-03;0.080;0.020
-2.008000e-03;0.080;0.020
-2.007000e-03;0.120;0.000
-2.006000e-03;0.120;0.000
-2.005000e-03;0.120;0.000
-2.004000e-03;0.160;0.020
-2.003000e-03;0.200;0.000
-2.002000e-03;0.240;-0.020
-2.001000e-03;0.240;-0.020
-2.000000e-03;0.280;0.000
-1.999000e-03;0.280;0.000
-1.998000e-03;0.320;0.000
-1.997000e-03;0.320;-0.020
-1.996000e-03;0.360;0.000
-1.995000e-03;0.360;0.000
-1.994000e-03;0.400;0.040
-1.993000e-03;0.400;0.000
-1.992000e-03;0.440;0.000
-1.991000e-03;0.480;0.020
-1.990000e-03;0.480;0.020
-1.989000e-03;0.480;0.000
-1.988000e-03;0.520;0.000
-1.987000e-03;0.560;-0.040
-1.986000e-03;0.560;0.020
-1.985000e-03;0.600;0.000
-1.984000e-03;0.600;0.000
-1.983000e-03;0.640;0.020
-1.982000e-03;0.640;-0.020
-1.981000e-03;0.680;0.020
-1.980000e-03;0.680;-0.020
-1.979000e-03;0.680;-0.060
-1.978000e-03;0.720;0.000
-1.977000e-03;0.760;0.000
-1.976000e-03;0.760;0.000
-1.975000e-03;0.800;0.000
-1.974000e-03;0.800;0.020
-1.973000e-03;0.800;0.020
-1.972000e-03;0.840;0.040
-1.971000e-03;0.840;0.000
-1.970000e-03;0.840;0.000
-1.969000e-03;0.840;0.020
-1.968000e-03;0.840;0.000
-1.967000e-03;0.880;0.000
-1.966000e-03;0.880;-0.020
-1.965000e-03;0.840;-0.040
-1.964000e-03;0.880;0.000
-1.963000e-03;0.880;0.000
-1.962000e-03;0.880;-0.080
-1.961000e-03;0.880;-0.020
-1.960000e-03;0.880;0.020
-1.959000e-03;0.880;-0.020
-1.958000e-03;0.880;0.020
-1.957000e-03;0.880;0.000
-1.956000e-03;0.920;0.020
-1.955000e-03;0.920;0.020
-1.954000e-03;0.920;0.000
-1.953000e-03;0.920;0.000
-1.952000e-03;0.920;0.000
-1.951000e-03;0.920;0.000
-1.950000e-03;0.920;0.000
-1.949000e-03;0.920;0.000
-1.948000e-03;0.920;0.000
-1.947000e-03;0.920;0.040
-1.946000e-03;0.960;0.000
-1.945000e-03;0.920;0.000
-1.944000e-03;0.920;-0.020
-1.943000e-03;0.960;0.000
-1.942000e-03;0.960;0.020
-1.941000e-03;0.960;0.020
-1.940000e-03;0.960;-0.040
-1.939000e-03;0.960;0.020
-1.938000e-03;0.960;0.000
-1.937000e-03;0.960;0.020
-1.936000e-03;0.960;0.000
-1.935000e-03;0.960;-0.020
-1.934000e-03;0.960;-0.020
-1.933000e-03;0.960;0.040
-1.932000e-03;0.960;0.000
-1.931000e-03;0.960;0.000
-1.930000e-03;0.960;0.020
-1.929000e-03;0.960;0.000
-1.928000e-03;0.960;0.000
-1.927000e-03;0.960;0.020
-1.926000e-03;0.960;-0.020
-1.925000e-03;0.960;0.000
-1.924000e-03;0.960;0.000
-1.923000e-03;0.960;-0.020
-1.922000e-03;1.000;0.020
-1.921000e-03;0.960;0.000
-1.920000e-03;1.000;0.020
-1.919000e-03;1.000;0.020
-1.918000e-03;1.000;0.000
-1.917000e-03;0.960;0.020
-1.916000e-03;1.000;0.020
-1.915000e-03;1.000;-0.020
-1.914000e-03;1.000;0.000
-1.913000e-03;1.000;0.000
-1.912000e-03;0.960;-0.060
-1.911000e-03;1.000;0.000
-1.910000e-03;1.000;0.020
-1.909000e-03;1.000;0.000
-1.908000e-03;0.960;0.000
-1.907000e-03;1.000;0.000
-1.906000e-03;1.000;0.020
-1.905000e-03;1.000;0.040
-1.904000e-03;1.000;-0.020
-1.903000e-03;1.000;0.020
-1.902000e-03;1.000;0.020
-1.901000e-03;1.040;0.020
-1.900000e-03;1.000;0.000
-1.899000e-03;1.000;0.000
-1.898000e-03;1.000;-0.020
-1.897000e-03;1.000;0.020
-1.896000e-03;1.000;-0.020
-1.895000e-03;1.040;0.000
-1.894000e-03;1.000;0.020
-1.893000e-03;1.040;0.000
-1.892000e-03;1.040;0.000
-1.891000e-03;1.040;0.020
-1.890000e-03;1.040;-0.060
-1.889000e-03;1.040;0.000
-1.888000e-03;1.040;0.020
-1.887000e-03;1.080;0.000
-1.886000e-03;1.040;0.020
-1.885000e-03;1.040;0.000
-1.884000e-03;1.080;0.020
-1.883000e-03;1.080;0.060
-1.882000e-03;1.040;0.000
-1.881000e-03;1.080;0.020
-1.880000e-03;1.080;0.020
-1.879000e-03;1.080;0.000
-1.878000e-03;1.080;0.000
-1.877000e-03;1.080;0.000
-1.876000e-03;1.120;-0.020
-1.875000e-03;1.120;0.000
-1.874000e-03;1.120;-0.020
-1.873000e-03;1.120;-0.040
-1.872000e-03;1.120;0.000
-1.871000e-03;1.120;0.000
-1.870000e-03;1.120;0.000
-1.869000e-03;1.120;0.020
-1.868000e-03;1.120;0.000
-1.867000e-03;1.160;0.020
-1.866000e-03;1.160;0.020
-1.865000e-03;1.160;0.000
-1.864000e-03;1.120;0.020
-1.863000e-03;1.160;0.020
-1.862000e-03;1.160;-0.040
-1.861000e-03;1.160;0.000
-1.860000e-03;1.160;0.000
-1.859000e-03;1.160;0.000
-1.858000e-03;1.160;-0.020
-1.857000e-03;1.200;0.000
-1.856000e-03;1.200;0.020
-1.855000e-03;1.200;0.020
-1.854000e-03;1.160;0.000
-1.853000e-03;1.200;0.000
-1.852000e-03;1.200;0.020
-1.851000e-03;1.200;-0.040
-1.850000e-03;1.200;0.020
-1.849000e-03;1.200;0.000
-1.848000e-03;1.200;0.020
-1.847000e-03;1.200;0.000
-1.846000e-03;1.240;-0.020
-1.845000e-03;1.200;-0.020
-1.844000e-03;1.200;0.040
-1.843000e-03;1.200;0.000
-1.842000e-03;1.200;0.000
-1.841000e-03;1.200;0.000
-1.840000e-03;1.200;0.000
-1.839000e-03;1.200;0.020
-1.838000e-03;1.240;0.000
-1.837000e-03;1.240;-0.040
-1.836000e-03;1.240;0.000
-1.835000e-03;1.240;0.020
-1.834000e-03;1.240;0.000
-1.833000e-03;1.240;0.040
-1.832000e-03;1.240;0.000
-1.831000e-03;1.280;0.020
-1.830000e-03;1.240;0.020
-1.829000e-03;1.240;0.000
-1.828000e-03;1.240;0.000
-1.827000e-03;1.280;0.020
-1.826000e-03;1.280;0.000
-1.825000e-03;1.280;0.000
-1.824000e-03;1.280;0.000
-1.823000e-03;1.280;-0.020
-1.822000e-03;1.280;0.000
-1.821000e-03;1.280;0.000
-1.820000e-03;1.280;0.000
-1.819000e-03;1.280;-0.020
-1.818000e-03;1.280;0.020
-1.817000e-03;1.280;0.020
-1.816000e-03;1.280;0.040
-1.815000e-03;1.280;0.020
-1.814000e-03;1.280;0.000
-1.813000e-03;1.320;0.000
-1.812000e-03;1.280;0.000
-1.811000e-03;1.320;0.000
-1.810000e-03;1.280;0.000
-1.809000e-03;1.320;0.000
-1.808000e-03;1.320;0.020
-1.807000e-03;1.320;0.000
-1.806000e-03;1.280;-0.020
-1.805000e-03;1.320;0.020
-1.804000e-03;1.320;0.000
-1.803000e-03;1.320;0.000
-1.802000e-03;1.320;0.000
-1.801000e-03;1.320;-0.080
-1.800000e-03;1.320;0.000
-1.799000e-03;1.320;0.000
-1.798000e-03;1.320;0.000
-1.797000e-03;1.320;0.000
-1.796000e-03;1.320;0.000
-1.795000e-03;1.320;0.000
-1.794000e-03;1.320;0.040
-1.793000e-03;1.320;0.000
-1.792000e-03;1.320;0.000
-1.791000e-03;1.320;0.040
-1.790000e-03;1.320;0.000
