Temps (s);CH1 (V);CH2 (V)
-6.000000e-03;-3.280;0.000
-5.996000e-03;-3.240;0.000
-5.992000e-03;-3.240;0.000
-5.988000e-03;-3.240;0.000
-5.984000e-03;-3.240;0.000
-5.980000e-03;-3.200;-0.020
-5.976000e-03;-3.240;0.020
-5.972000e-03;-3.200;0.060
-5.968000e-03;-3.200;0.000
-5.964000e-03;-3.200;0.000
-5.960000e-03;-3.200;0.020
-5.956000e-03;-3.200;0.020
-5.952000e-03;-3.160;0.000
-5.948000e-03;-3.160;0.000
-5.944000e-03;-3.160;-0.020
-5.940000e-03;-3.160;0.020
-5.936000e-03;-3.160;0.020
-5.932000e-03;-3.120;0.000
-5.928000e-03;-3.120;0.000
-5.924000e-03;-3.120;-0.020
-5.920000e-03;-3.120;0.000
-5.916000e-03;-3.120;0.000
-5.912000e-03;-3.080;-0.020
-5.908000e-03;-3.080;-0.020
-5.904000e-03;-3.040;0.020
-5.900000e-03;-3.040;0.020
-5.896000e-03;-3.080;0.020
-5.892000e-03;-3.040;0.000
-5.888000e-03;-3.040;0.000
-5.884000e-03;-3.040;0.020
-5.880000e-03;-3.000;-0.020
-5.876000e-03;-3.000;-0.020
-5.872000e-03;-3.000;-0.060
-5.868000e-03;-3.000;0.020
-5.864000e-03;-3.000;0.000
-5.860000e-03;-2.960;0.000
-5.856000e-03;-3.000;0.020
-5.852000e-03;-2.960;0.020
-5.848000e-03;-2.960;0.020
-5.844000e-03;-2.960;-0.020
-5.840000e-03;-2.960;0.000
-5.836000e-03;-2.920;0.000
-5.832000e-03;-2.920;0.000
-5.828000e-03;-2.880;0.000
-5.824000e-03;-2.880;0.000
-5.820000e-03;-2.920;0.020
-5.816000e-03;-2.920;0.000
-5.812000e-03;-2.880;0.020
-5.808000e-03;-2.880;-0.080
-5.804000e-03;-2.840;0.000
-5.800000e-03;-2.840;0.000
-5.796000e-03;-2.840;0.000
-5.792000e-03;-2.840;0.000
-5.788000e-03;-2.840;0.020
-5.784000e-03;-2.800;0.020
-5.780000e-03;-2.800;0.000
-5.776000e-03;-2.760;0.020
-5.772000e-03;-2.760;0.000
-5.768000e-03;-2.760;0.000
-5.764000e-03;-2.720;0.000
-5.760000e-03;-2.720;0.000
-5.756000e-03;-2.720;0.000
-5.752000e-03;-2.720;0.000
-5.748000e-03;-2.720;0.020
-5.744000e-03;-2.680;-0.040
-5.740000e-03;-2.680;0.000
-5.736000e-03;-2.680;0.000
-5.732000e-03;-2.640;0.000
-5.728000e-03;-2.640;-0.020
-5.724000e-03;-2.640;-0.020
-5.720000e-03;-2.640;-0.020
-5.716000e-03;-2.600;0.000
-5.712000e-03;-2.600;0.060
-5.708000e-03;-2.600;0.000
-5.704000e-03;-2.560;0.020
-5.700000e-03;-2.560;0.020
-5.696000e-03;-2.560;0.000
-5.692000e-03;-2.520;0.000
-5.688000e-03;-2.520;0.000
-5.684000e-03;-2.520;-0.020
-5.680000e-03;-2.520;0.000
-5.676000e-03;-2.480;0.000
-5.672000e-03;-2.480;0.000
-5.668000e-03;-2.480;0.000
-5.664000e-03;-2.440;0.000
-5.660000e-03;-2.440;0.020
-5.656000e-03;-2.440;0.000
-5.652000e-03;-2.400;0.000
-5.648000e-03;-2.360;0.060
-5.644000e-03;-2.360;0.000
-5.640000e-03;-2.360;0.000
-5.636000e-03;-2.360;0.000
-5.632000e-03;-2.320;0.040
-5.628000e-03;-2.320;0.000
-5.624000e-03;-2.320;0.020
-5.620000e-03;-2.320;-0.020
-5.616000e-03;-2.280;-0.020
-5.612000e-03;-2.280;0.000
-5.608000e-03;-2.240;0.000
-5.604000e-03;-2.240;0.000
-5.600000e-03;-2.240;0.000
-5.596000e-03;-2.240;0.020
-5.592000e-03;-2.240;0.000
-5.588000e-03;-2.200;0.020
-5.584000e-03;-2.200;-0.040
-5.580000e-03;-2.160;0.000
-5.576000e-03;-2.160;0.000
-5.572000e-03;-2.160;0.020
-5.568000e-03;-2.120;-0.020
-5.564000e-03;-2.120;0.000
-5.560000e-03;-2.120;0.020
-5.556000e-03;-2.120;-0.020
-5.552000e-03;-2.040;0.020
-5.548000e-03;-2.040;0.000
-5.544000e-03;-2.040;0.000
-5.540000e-03;-2.040;0.000
-5.536000e-03;-2.000;0.000
-5.532000e-03;-2.000;0.000
-5.528000e-03;-2.000;0.000
-5.524000e-03;-1.960;0.020
-5.520000e-03;-1.960;-0.020
-5.516000e-03;-1.960;-0.020
-5.512000e-03;-1.920;0.000
-5.508000e-03;-1.920;0.000
-5.504000e-03;-1.920;0.000
-5.500000e-03;-1.880;0.000
-5.496000e-03;-1.880;0.000
-5.492000e-03;-1.880;0.020
-5.488000e-03;-1.840;0.020
-5.484000e-03;-1.800;0.000
-5.480000e-03;-1.800;0.000
-5.476000e-03;-1.800;0.000
-5.472000e-03;-1.800;-0.020
-5.468000e-03;-1.760;-0.020
-5.464000e-03;-1.720;0.000
-5.460000e-03;-1.720;0.020
-5.456000e-03;-1.680;0.000
-5.452000e-03;-1.720;0.020
-5.448000e-03;-1.640;0.000
-5.444000e-03;-1.640;0.000
-5.440000e-03;-1.640;0.000
-5.436000e-03;-1.640;0.000
-5.432000e-03;-1.640;0.000
-5.428000e-03;-1.600;0.000
-5.424000e-03;-1.560;0.040
-5.420000e-03;-1.560;0.040
-5.416000e-03;-1.560;0.000
-5.412000e-03;-1.520;0.000
-5.408000e-03;-1.520;0.020
-5.404000e-03;-1.480;0.000
-5.400000e-03;-1.480;0.000
-5.396000e-03;-1.440;-0.020
-5.392000e-03;-1.440;-0.020
-5.388000e-03;-1.440;0.020
-5.384000e-03;-1.400;0.000
-5.380000e-03;-1.400;0.000
-5.376000e-03;-1.360;0.020
-5.372000e-03;-1.360;-0.020
-5.368000e-03;-1.320;0.000
-5.364000e-03;-1.320;0.020
-5.360000e-03;-1.280;-0.020
-5.356000e-03;-1.280;0.000
-5.352000e-03;-1.280;0.000
-5.348000e-03;-1.280;0.000
-5.344000e-03;-1.240;0.000
-5.340000e-03;-1.240;0.000
-5.336000e-03;-1.200;0.020
-5.332000e-03;-1.200;-0.020
-5.328000e-03;-1.160;-0.020
-5.324000e-03;-1.160;-0.060
-5.320000e-03;-1.120;0.020
-5.316000e-03;-1.120;0.000
-5.312000e-03;-1.120;0.000
-5.308000e-03;-1.120;0.020
-5.304000e-03;-1.120;0.000
-5.300000e-03;-1.080;0.020
-5.296000e-03;-1.040;0.020
-5.292000e-03;-1.040;-0.020
-5.288000e-03;-1.000;0.000
-5.284000e-03;-0.960;0.000
-5.280000e-03;-0.960;-0.020
-5.276000e-03;-0.960;0.000
-5.272000e-03;-0.920;0.020
-5.268000e-03;-0.920;0.000
-5.264000e-03;-0.920;0.020
-5.260000e-03;-0.840;-0.040
-5.256000e-03;-0.880;0.000
-5.252000e-03;-0.880;0.000
-5.248000e-03;-0.840;0.000
-5.244000e-03;-0.800;0.000
-5.240000e-03;-0.800;-0.020
-5.236000e-03;-0.800;0.020
-5.232000e-03;-0.760;0.000
-5.228000e-03;-0.760;0.060
